Column1,name,Random Forest,Logistic Regression,SVM,NN,Random Forest std,Logistic Regression std,SVM std,NN std,min std=rf,max,2 feat max
314,"diam, closeness centralization, spectral radius",55.59%,46.02%,48.74%,46.04%,0.009977514,0.015289013,0.012401014,0.018666585,0.5559375,0.5559375,0
368,"closeness centralization, betweeness centralization, effective graph resistence",55.36%,44.01%,48.64%,47.99%,0.013322326,0.010963184,0.013428194,0.01436902,0,0.553625,0
320,"diam, effective graph resistence, spectral radius",55.19%,37.34%,44.61%,50.09%,0.009341607,0.012064929,0.012685499,0.13000637,0.551875,0.551875,0
351,"edge connectivity, betweeness centralization, eigenvector centralization",54.91%,39.58%,48.84%,48.51%,0.008515611,0.01171204,0.009148301,0.007893084,0,0.549125,0
336,"den, betweeness centralization, eigenvector centralization",54.88%,33.98%,44.04%,43.32%,0.009492802,0.029290037,0.01266778,0.104302913,0.5488125,0.5488125,0
362,"degree centralization, betweeness centralization, effective graph resistence",54.86%,44.88%,47.47%,42.17%,0.013255453,0.012649111,0.011977192,0.087245075,0,0.5485625,0
312,"diam, closeness centralization, eigenvector centralization",54.66%,46.64%,52.53%,50.91%,0.00958596,0.015392774,0.011233495,0.037733854,0.546625,0.546625,0
310,"diam, degree centralization, spectral radius",54.53%,46.61%,49.10%,45.84%,0.010323668,0.016895358,0.009495887,0.012116621,0,0.54525,0
315,"diam, betweeness centralization, eigenvector centralization",54.49%,35.22%,54.21%,44.55%,0.010734,0.046848534,0.015309438,0.08919904,0.544875,0.544875,0
308,"diam, degree centralization, eigenvector centralization",54.46%,46.97%,54.14%,49.75%,0.011114461,0.013092967,0.008430784,0.026541536,0,0.544625,0
244,"APL, degree centralization, eigenvector centralization",54.39%,46.31%,53.90%,51.74%,0.006374081,0.021544739,0.012475601,0.014645418,0.5439375,0.5439375,0
329,"den, degree centralization, eigenvector centralization",54.37%,46.22%,52.62%,49.94%,0.008127163,0.009779802,0.008317198,0.024627617,0.5436875,0.5436875,0
337,"den, betweeness centralization, effective graph resistence",54.21%,32.31%,44.11%,40.57%,0.016010373,0.024736818,0.01020895,0.15938761,0,0.5420625,0
347,"edge connectivity, closeness centralization, betweeness centralization",54.15%,47.74%,52.02%,50.74%,0.01058522,0.007540516,0.012866654,0.01089653,0,0.5415,0
350,"edge connectivity, closeness centralization, spectral radius",53.48%,49.81%,54.13%,51.03%,0.011659391,0.01424246,0.010456196,0.008988925,0,0.5413125,0
252,"APL, betweeness centralization, effective graph resistence",54.11%,32.16%,42.86%,42.81%,0.010985786,0.019752868,0.011635076,0.009293185,0,0.541125,0
346,"edge connectivity, degree centralization, spectral radius",52.79%,49.38%,53.89%,52.05%,0.009135268,0.012913323,0.01029563,0.010204166,0.527875,0.538875,0
249,"APL, closeness centralization, effective graph resistence",53.76%,44.44%,47.81%,47.17%,0.010909607,0.013044395,0.011525956,0.010893841,0,0.5375625,0
343,"edge connectivity, degree centralization, betweeness centralization",53.75%,47.44%,51.38%,50.26%,0.012954246,0.010461985,0.010884515,0.007471038,0,0.5375,0
334,"den, closeness centralization, effective graph resistence",53.64%,44.83%,49.64%,46.35%,0.009626015,0.010653638,0.010353328,0.010148122,0.5364375,0.5364375,0
355,"edge connectivity, eigenvector centralization, spectral radius",51.67%,44.79%,52.28%,53.37%,0.007886153,0.012884857,0.013199935,0.009958704,0.5166875,0.5336875,0
303,"diam, edge connectivity, eigenvector centralization",48.18%,41.59%,53.26%,49.09%,0.011199365,0.025261523,0.016964577,0.016343959,0.4818125,0.532625,0
